artist_name	title	estimate	lot_number	collecting_society	resale_right
Christopher Wood	Portrait of a Girl	25000-35000	601		Yes
Alfred Wallis	Boats by a Jetty with Lighthouses	10000-15000	602	ACS	No
Dame Barbara Hepworth	Drawing for Sculpture with Colour	40000-60000	603		Yes
Dame Barbara Hepworth	Miniature of Winged Figure	70000-100000	604		Yes
Lynn Chadwick, R.A.	Maquette IX Sitting Elektra	20000-30000	605		Yes
Ivon Hitchens	Yellow and Orange Lilies	40000-60000	606		Yes
Lynn Chadwick, R.A.	Miniature Figure VI	7000-10000	607		Yes
Frank Auerbach	Study for Mornington Crescent Winter Morning	12000-18000	608	ACS	Yes
Duncan Grant	Painted Box with Nude	20000-30000	609		Yes
Duncan Grant	Kneeling Female Nude	15000-30000	610		Yes
Algernon Cecil Newton	A River at Twilight	25000-35000	611	ACS	Yes
Augustus John, R.A.	Portrait of Dorelia	40000-60000	612		Yes
Gwen John	Portrait of a Lady, probably Maude Boughton Leigh	12000-18000	613		No
Victor Pasmore	Still Life of Wine Bottles and Flowers	20000-30000	614		Yes
Henry Moore	Seated Woman Holding Child	60000-80000	615		Yes
Laurence Stephen Lowry, R.A.	The Farm	50000-70000	616		Yes
Laurence Stephen Lowry, R.A.	Yachts at Lytham St Anne's	180000-250000	617		Yes
Henry Moore	Draped Seated Mother and Child on Ground	40000-60000	618		Yes
Henry Moore	Standing Figures	30000-50000	619		Yes
Anne Redpath, R.S.A., A.R.A.	Pink Still Life	12000-18000	620		Yes
Anne Redpath, R.S.A., A.R.A.	Begonias	25000-35000	621		Yes
Francis Campbell Boileau Cadell, R.S.A., R.S.W.	Iona	50000-80000	622		Yes
Samuel John Peploe, R.S.A.	Tulips	150000-250000	623		Yes
Sir Matthew Smith	Landscape near Lyons	25000-50000	624		Yes
Sir Matthew Smith	Still Life with Roman Head	12000-18000	625		Yes
John Piper	Wiggenhall St Peter	5500-6500	626		Yes
Henry Moore	Maquette for Hill Arches	20000-30000	627		Yes
Ivon Hitchens	Holbrook	50000-70000	628		Yes
Augustus John, R.A.	A Canadian Soldier	5000-7000	629		Yes
Walter Richard Sickert, R.A.	Les Arcades, Dieppe	25000-35000	630		No
Dame Elisabeth Frink, R.A.	De Beers Trophy	30000-50000	631		Yes
Sir Winston Churchill, HON. R.A.	Hunting Scene	150000-250000	632		Yes
Henry Moore	Seated Figure on Square Steps	50000-70000	633		Yes
Sir John Lavery, R.A.	The Palladian Bridge, Wilton House	40000-60000	634		No
Sir David Young Cameron, R.A., R.S.A., R.W.S.	Ostia	2000-3000	635		No
James McBey	The Rising Moon, Venice	6000-8000	636		Yes
Alan Reynolds	Sunrise	70000-100000	637		No
Graham Sutherland	Vine Pergola	100000-150000	638	ACS	Yes
Graham Sutherland	Banana Leaf	8000-12000	639	ACS	Yes
Craigie Aitchison, R.A.	Fish Still Life	18000-25000	640		Yes
Eileen Agar, R.A.	The Sleep Walkers	12000-18000	641		Yes
Paul Mount	La Dolce Vita	12000-18000	642		Yes
Denis Mitchell	Peninnis	10000-15000	643	ACS	Yes
Paul Feiler	Porthcadjack IV	20000-30000	644	ACS	Yes
Alfred Wallis	The Fleet	8000-12000	645	ACS	No
Peter Lanyon	Peter Lanyon, Pine Shore	30000-50000	646		No
William Scott, R.A.	White Circle	25000-30000	647		Yes
William Turnbull	Mask	50000-70000	648		Yes
